Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,directors,stars,characters,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,awards_wins_nominations_total,critic_reviews_count,user_reviews_count,genres,Languages,similar_movies,similar_movies_links,json_ld_rating,json_ld_vote_count,json_ld_content_rating,json_ld_keywords,json_ld_poster_url,json_ld_directors,json_ld_writers,json_ld_actors,json_ld_runtime_minutes,sex_nudity_severity,violence_gore_severity,profanity_severity,alcohol_drugs_smoking_severity,frightening_intense_scenes_severity,producers,composer,cinematographer,editor,casting_director,production_designer,costume_designer,release_dates_by_country,aka_titles,budget_numeric,grossWorldWWide_numeric,gross_US_Canada_numeric,opening_weekend_numeric,profit,roi,total_wins,total_nominations,runtime_minutes,release_month,release_decade,release_weekday,cast_size,genre_count,country_count,rating_mismatch
1. Safety Last!,1923,1h 14m,Not Rated,8.1,25K,,A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.,https://www.imdb.com/title/tt0014429/?ref_=sr_i_1,"['Hal Roach', 'Sam Taylor', 'Tim Whelan']","['Fred C. Newmeyer', 'Sam Taylor']","['Harold Lloyd', 'Mildred Davis', 'Bill Strother', 'Noah Young', 'Westcott Clarke', 'Chester A. Bachman', 'Ed Brandenburg', 'Roy Brooks', 'Charley Chase', 'Monte Collins', 'Mickey Daniels', 'Richard Daniels', 'Ray Erlenborn', 'Ruth Feldman', 'William Gillespie', 'Helen Gilmore', 'Katherine Grant', 'Wally Howe']","['Harold - The Boy', 'Mildred - The Girl', 'Limpy Bill - The Pal', 'Officer Jim Taylor - The Law', 'Mr. Stubbs, head floorwalker', 'Friendly Cop', 'Man in Straw Boater Hat', 'Man Laughing from Window', 'Bystander at Climbing', 'Laundry Truck Driver', 'Newsboy with Freckles', 'Worker with Acetylene Torch', 'Newsboy with Cap', 'Customer', ""General Manager's Assistant"", 'Department Store Customer', 'Blonde Woman at Window', 'Man with Flowers']","$121,000 (estimated)",,,,"April 1, 1923",['United States'],"['Atlantic Hotel, Broadway, Los Angeles, California, USA (facade, clock tower scene)']",['Hal Roach Studios'],Awards 4 wins & 1 nomination total,4 wins & 1 nomination total,94 Critic reviews,One of the Funniest Comedies Ever,"['Farce', 'Slapstick', 'Action', 'Comedy', 'Romance', 'Thriller']",['English'],,,8.1,24997.0,Not Rated,"slapstick comedy,climbing a building,department store,publicity stunt,pigeon",https://m.media-amazon.com/images/M/MV5BMjkyOTg2MzE1MV5BMl5BanBnXkFtZTgwMDUzODYwMjE@._V1_.jpg,"['Fred C. Newmeyer', 'Sam Taylor']","['Hal Roach', 'Sam Taylor', 'Tim Whelan']","['Harold Lloyd', 'Mildred Davis', 'Bill Strother']",74.0,,,,,Mild,,,,,,,,"['April 17, 1923: (Palm Beach, Florida, premiere)']","['April 17, 1923: (Palm Beach, Florida, premiere)']",121000.0,,,,,,4.0,1.0,74.0,4.0,1920.0,Sunday,18,6,1,False
2. The Hunchback of Notre Dame,1923,2h 13m,Passed,7.2,6.9K,,"In 15th-century Paris, the brother of the archdeacon plots with the gypsy king to foment a peasant revolt. Meanwhile, a freakish hunchback falls in love with a gypsy dancer.",https://www.imdb.com/title/tt0014142/?ref_=sr_i_2,"['Victor Hugo', 'Perley Poore Sheehan', 'Edward T. Lowe Jr.']",['Wallace Worsley'],"['Lon Chaney', 'Patsy Ruth Miller', 'Norman Kerry', 'Kate Lester', 'Winifred Bryson', 'Nigel De Brulier', 'Brandon Hurst', 'Ernest Torrence', 'Tully Marshall', 'Harry von Meter', 'Raymond Hatton', 'Nick De Ruiz', 'Eulalie Jensen', 'Roy Laidlaw', 'Ray Myers', 'William Parke', 'Gladys Brockwell', 'John Cossar']","['Quasimodo', 'Esmeralda', 'Phoebus de Chateaupers', 'Madame de Condelaurier', 'Fleur de Lys', 'Don Claudio', 'Jehan', 'Clopin', 'El Rey Luis XI', 'Mons. Neufchatel', 'Gringoire', 'Mons. Le Torteru', 'Marie', 'Charmolu', ""Charmolu's Assistant"", 'Josephus', 'Sister Gudule', 'Judge of the Court']","$1,250,000 (estimated)",,,,"September 6, 1923",['United States'],"['Court of Miracles, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA']",['Universal Pictures'],Awards 3 wins & 1 nomination total,3 wins & 1 nomination total,63 Critic reviews,evocative Hugo adaptation,"['Costume Drama', 'Period Drama', 'Drama', 'Horror', 'Romance']",['English'],,,7.2,6872.0,Passed,"1480s,15th century,church bell,chained up woman,tumbrel",https://m.media-amazon.com/images/M/MV5BOTkwM2Y1MGQtZGUxYy00ZTJlLWJjMDQtMzM1YmRmNTMzZTY1XkEyXkFqcGc@._V1_.jpg,['Wallace Worsley'],"['Victor Hugo', 'Perley Poore Sheehan', 'Edward T. Lowe Jr.']","['Lon Chaney', 'Patsy Ruth Miller', 'Norman Kerry']",133.0,Mild,Moderate,,Mild,Moderate,,,,,,,,"['September 2, 1923: (New York City, New York)', 'November 19, 1923: (London)']","['September 2, 1923: (New York City, New York)', 'November 19, 1923: (London)']",1250000.0,,,,,,3.0,1.0,133.0,9.0,1920.0,Thursday,18,5,1,False
3. The Wheel,1923,6h 57m,Not Rated,7.5,2.8K,,"A railway engineer adopts a young girl orphaned by a train crash. Years later when she starts getting suitors, he grapples with whether or not to tell her the truth about her parentage.",https://www.imdb.com/title/tt0014417/?ref_=sr_i_3,['Abel Gance'],['Abel Gance'],"['Gabriel de Gravone', 'Pierre Magnier', 'Georges Térof', 'Séverin-Mars', 'Ivy Close', 'Max Maxudian', 'Gil Clary', 'Géo Dugast']","['Elie', 'Jacques de Hersan', 'Mâchefer', 'Sisif', 'Norma', 'Le minéralogiste Kalatarikarascopoulos', 'Dalilah', 'Le cheminot Jacobin']",,,,,"February 17, 1923",['France'],"['Mont-Blanc, Chamonix, Haute-Savoie, France']",['Films Abel Gance'],Awards 1 win total,,37 Critic reviews,Humanity and suffering,['Drama'],"['None', 'French', 'English']",,,7.5,2820.0,Not Rated,"reference to victor hugo,girl,young,truth,railwayman",https://m.media-amazon.com/images/M/MV5BMjAzODE4NTg5MF5BMl5BanBnXkFtZTcwODIzMzg2MQ@@._V1_.jpg,['Abel Gance'],['Abel Gance'],"['Gabriel de Gravone', 'Pierre Magnier', 'Georges Térof']",417.0,,,,,,,,,,,,,"['March 31, 1926: (Belgrade, premiere)']","['March 31, 1926: (Belgrade, premiere)']",,,,,,,,,417.0,2.0,1920.0,Saturday,8,1,1,False
4. Three Ages,1923,1h 3m,Not Rated,7.0,5.8K,,The misadventures of Buster in three separate historical periods.,https://www.imdb.com/title/tt0014538/?ref_=sr_i_4,"['Clyde Bruckman', 'Joseph A. Mitchell', 'Jean C. Havez']","['Edward F. Cline', 'Buster Keaton']","['Buster Keaton', 'Margaret Leahy', 'Wallace Beery', 'Joe Roberts', 'Lillian Lawrence', 'Kewpie Morgan', 'Lionel Belmore', 'Bernard Berger', 'Basil Bookasta', 'George Bookasta', 'George Davis', 'Louise Emmons', 'F.F. Guenste', 'Blanche Payson']","['The Boy', 'The Girl', 'The Villain', ""The Girl's Father"", ""The Girl's Mother"", 'The Emperor', 'Undetermined Role', 'Roman Child', 'Stone Age Child', 'Stone Age Child', 'Roman Guard Knocked Down', 'Old Fortune Teller', 'Butler', 'The Amazon']",,,$177,,"September 24, 1923",['United States'],"['Los Angeles Memorial Coliseum - 3911 S. Figueroa Street, Exposition Park, Los Angeles, California, USA (Roman age)']",['Buster Keaton Productions'],Awards 1 nomination total,,47 Critic reviews,Incomparable,"['Slapstick', 'Comedy']","['None', 'English']",,,7.0,5800.0,Not Rated,"anthology film,cat,anthology,stone age,cavewoman",https://m.media-amazon.com/images/M/MV5BMjI3OTEzODA4NF5BMl5BanBnXkFtZTgwODc0NDIwMjE@._V1_.jpg,"['Edward F. Cline', 'Buster Keaton']","['Clyde Bruckman', 'Joseph A. Mitchell', 'Jean C. Havez']","['Buster Keaton', 'Margaret Leahy', 'Wallace Beery']",63.0,,Mild,,Mild,,,,,,,,,"['June 25, 1923: (London, premiere)', 'July 14, 1923: (San Francisco, California, premiere)', 'September 14, 1923: (Los Angeles, California)', 'September 14, 1923: (Washington, D.C.)']","['June 25, 1923: (London, premiere)', 'July 14, 1923: (San Francisco, California, premiere)', 'September 14, 1923: (Los Angeles, California)', 'September 14, 1923: (Washington, D.C.)']",,177.0,,,,,,,63.0,9.0,1920.0,Monday,14,2,1,False
5. The Ten Commandments,1923,2h 16m,Passed,6.8,3K,,"After hearing the story of Moses, the sons of a devout Christian mother go their own ways, and the atheist brother's breaking of the Ten Commandments leads to tragedy.",https://www.imdb.com/title/tt0014532/?ref_=sr_i_5,['Jeanie Macpherson'],['Cecil B. DeMille'],"['Theodore Roberts', 'Charles de Rochefort', 'Estelle Taylor', 'Julia Faye', 'Pat Moore', 'James Neill', 'Lawson Butt', 'Clarence Burton', 'Noble Johnson', 'Edythe Chapman', 'Richard Dix', 'Rod La Rocque', 'Leatrice Joy', 'Nita Naldi', 'Robert Edeson', 'Charles Ogle', 'Agnes Ayres', 'Leon Beaumon']","['Moses - The Lawgiver - Prologue', 'Rameses the Magnificent - Prologue', 'Miriam - The Sister of Moses - Prologue', 'The Wife of Pharaoh - Prologue', 'The Son of Pharaoh - Prologue', 'Aaron - Brother of Moses - Prologue', 'Dathan - The Discontented - Prologue', 'The Taskmaster - Prologue', 'The Bronze Man - Prologue', 'Mrs. Martha McTavish', 'John McTavish - Her Son', 'Dan McTavish - Her Son', 'Mary Leigh', 'Sally Lung - A Eurasian', 'Redding - An Inspector', 'The Doctor', 'The Outcast', 'Egyptian Calvaryman']","$1,475,837 (estimated)",,,,"December 4, 1923",['United States'],"['Guadalupe-Nipomo Dunes, California, USA']",['Paramount Pictures'],Awards 2 wins & 1 nomination total,2 wins & 1 nomination total,21 Critic reviews,Commentary & Pristine Print Highlight 1923 Version!,"['Biography', 'Drama', 'History']","['None', 'English']",,,6.8,2989.0,Passed,"syphilis,domineering mother,illegal entry,leper colony,building a church",https://m.media-amazon.com/images/M/MV5BY2ZmNzU5MzUtMDEwMi00YmFmLTkyYTMtZGU3ZmQ3MWJlZmVkXkEyXkFqcGc@._V1_.jpg,['Cecil B. DeMille'],['Jeanie Macpherson'],"['Theodore Roberts', 'Charles de Rochefort', 'Estelle Taylor']",136.0,Mild,Mild,,Mild,Moderate,,,,,,,,"['December 21, 1923: (New York City, New York, premiere)', 'November 19, 1924: (Barcelona, premiere)']","['December 21, 1923: (New York City, New York, premiere)', 'November 19, 1924: (Barcelona, premiere)']",1475837.0,,,,,,2.0,1.0,136.0,12.0,1920.0,Tuesday,18,3,1,False
6. Our Hospitality,1923,1h 5m,Passed,7.7,14K,,"A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.",https://www.imdb.com/title/tt0014341/?ref_=sr_i_6,"['Jean C. Havez', 'Clyde Bruckman', 'Joseph A. Mitchell']","['John G. Blystone', 'Buster Keaton']","['Buster Keaton', 'Natalie Talmadge', 'Joe Keaton', 'Joe Roberts', 'Francis X. Bushman Jr.', 'Monte Collins', 'Craig Ward', 'Kitty Bradbury', 'Buster Keaton Jr.', 'Jim Blackwell', 'Erwin Connelly', 'Edward Coxen', 'Jack Duffy', 'Jean Dumas', 'Tom London', 'George Marion']","['Willie McKay - 21 Years Old', 'Virginia Canfield', 'The Engineer', 'Joseph Canfield', ""Canfield's 1st Son"", 'The Parson', ""Canfield's 2nd Son"", 'The Aunt', 'Willie McKay - 1 Year Old', ""Canfield's servant"", 'Husband Quarreling with Wife', 'John McKay', 'Sam Gardner', 'Mrs. McKay', 'James Canfield', 'Traffic Policeman']",,,$248,,"November 19, 1923",['United States'],"['Truckee River, California, USA']",['Joseph M. Schenck Productions'],Awards 1 nomination total,,58 Critic reviews,"Some fun, some great stunts","['Slapstick', 'Comedy', 'Romance', 'Thriller']","['None', 'English']",,,7.7,13618.0,Passed,"1830s,brother kisses his sister on the lips,derringer,blood feud,dog",https://m.media-amazon.com/images/M/MV5BNDY2MjRmZWQtZTRmYS00YjA2LTg0ZTgtYzBjODJiNTFkMTc4XkEyXkFqcGc@._V1_.jpg,"['John G. Blystone', 'Buster Keaton']","['Jean C. Havez', 'Clyde Bruckman', 'Joseph A. Mitchell']","['Buster Keaton', 'Natalie Talmadge', 'Joe Keaton']",65.0,,Mild,,,Mild,,,,,,,,"['November 25, 1923: (Washington, D.C.)']","['November 25, 1923: (Washington, D.C.)']",,248.0,,,,,,,65.0,11.0,1920.0,Monday,16,4,1,False
7. A Woman of Paris: A Drama of Fate,1923,1h 22m,Passed,6.9,7K,76.0,A kept woman runs into her former fiancé and finds herself torn between love and comfort.,https://www.imdb.com/title/tt0014624/?ref_=sr_i_7,['Charles Chaplin'],['Charles Chaplin'],"['Edna Purviance', 'Clarence Geldert', 'Carl Miller', 'Lydia Knott', 'Charles K. French', 'Adolphe Menjou', 'Betty Morrissey', 'Malvina Polo', 'Nellie Bly Baker', 'Henry Bergman', 'Charles Chaplin', 'Frank Coghlan Jr.', 'Antonio Corsi', ""Harry d'Abbadie d'Arrast"", 'Stella De Lanti', 'Jean de Limur', 'Charles Farrell', 'Bess Flowers']","['Marie St. Clair', ""Marie's Step-Father"", 'Jean Millet', ""Jean's Mother"", ""Jean's Father"", 'Pierre Revel', 'Fifi', 'Paulette', 'Masseuse', 'Head Waiter', 'Station Porter', 'Boy', 'Accordion Player', 'Man in Nightclub', ""Revel's Fiancée"", 'Man in Nightclub', 'Man in Nightclub', 'Mannequin']","$351,000 (estimated)",,"$12,921",,"November 4, 1923",['United States'],"['Chaplin Studios - 1416 N. La Brea Avenue, Hollywood, Los Angeles, California, USA (Studio)']",['Charles Chaplin Productions'],Awards 3 wins total,,37 Critic reviews,Interesting Change of Pace From Chaplin,"['Drama', 'Romance']",['English'],,,6.9,7003.0,Passed,"feature length film,feature length,early feature length film,silent movie star,produced by director",https://m.media-amazon.com/images/M/MV5BOTFhYmZjZDUtMzZmMC00YzRmLTlmOTUtZjJlN2M1MzBjODFhXkEyXkFqcGc@._V1_.jpg,['Charles Chaplin'],['Charles Chaplin'],"['Edna Purviance', 'Clarence Geldert', 'Carl Miller']",82.0,,Mild,,Mild,Mild,,,,,,,,"['September 26, 1923: (Los Angeles, California, premiere)', 'October 1, 1923: (New York City, New York)', 'February 25, 1924: (London)']","['September 26, 1923: (Los Angeles, California, premiere)', 'October 1, 1923: (New York City, New York)', 'February 25, 1924: (London)']",351000.0,12921.0,,,-338079.0,-0.9631880341880342,,,82.0,11.0,1920.0,Sunday,18,2,1,False
8. Zaza,1923,1h 24m,,6.6,968,,"Zaza is the favorite actress at an open-air theater in a small French town. When diplomat Bernard Dufresne comes to the village, he stays away for fear he will fall for her. But when Zaza is badly injured, he has no choice.",https://www.imdb.com/title/tt0014636/?ref_=sr_i_8,"['Pierre Berton', 'Albert S. Le Vino', 'Charles Simon']",['Allan Dwan'],"['Gloria Swanson', 'H.B. Warner', 'Ferdinand Gottschalk', 'Lucille La Verne', 'Mary Thurman', 'Yvonne Hughes', 'Riley Hatch', 'L. Rogers Lytton', 'Ivan Linow', 'Florence Fair', 'Helen Mack']","['Zaza', 'Bernard Dufresne', 'Duke de Brissac', 'Aunt Rosa', 'Florianne', ""Nathalie - Zaza's Maid"", 'Rigault', 'Stage Manager', 'Apache', 'Madame Dufresne', 'Lucille Dufresne']",,,,"$427,875","October 21, 1923",['United States'],"['New York City, New York, USA']",['Paramount Pictures'],Awards 2 wins total,,12 Critic reviews,This one helped make Gloria Swanson a huge movie star.,"['Drama', 'Romance']","['None', 'English']",,,6.6,968.0,,"actress,fear,kicking off one&apos;s shoes,rivals,house on lake",https://m.media-amazon.com/images/M/MV5BMDkxZjcwMDUtZmZmNi00ZjM5LTg0MTgtZmY4NGNlNzAwYzRiXkEyXkFqcGc@._V1_.jpg,['Allan Dwan'],"['Pierre Berton', 'Albert S. Le Vino', 'Charles Simon']","['Gloria Swanson', 'H.B. Warner', 'Ferdinand Gottschalk']",84.0,,,,,,,,,,,,,"['September 16, 1923: (New York City, New York)']","['September 16, 1923: (New York City, New York)']",,,427875.0,,,,,,84.0,10.0,1920.0,Sunday,11,2,1,False
9. The Pilgrim,1923,47m,TV-G,7.2,6.3K,,"Disguised as a priest, an escaped convict makes his way to Texas. He ends up in a small rural town where the townsfolk mistake him for their new church minister.",https://www.imdb.com/title/tt0014358/?ref_=sr_i_9,['Charles Chaplin'],['Charles Chaplin'],"['Charles Chaplin', 'Edna Purviance', 'Syd Chaplin', 'Mai Wells', 'Dean Riesner', 'Charles Reisner', 'Tom Murray', 'Kitty Bradbury', 'Mack Swain', 'Loyal Underwood', 'Henry Bergman', 'Phyllis Allen', 'Joe Anderson', 'Frank Antunez', 'Sarah Barrows', 'Monta Bell', 'Edith Bostwick', 'George Bradford']","['The Pilgrim', 'The Girl', 'Eloper', ""Little Boy's Mother"", 'Little Boy', 'Howard Huntington - The Crook', 'Sheriff Bryan', ""Mrs. Brown - The Girl's Mother"", 'Large Deacon', 'Small Deacon', 'Man In Railroad Station', 'Congregation Member', 'Roulette Player', 'Bandit', 'Congregation Member', 'Policeman', 'Congregation Member', 'Congregation Member']",,,,"$610,772","February 25, 1923",['United States'],"['Saugus Train Depot, Saugus, California, USA']",['Charles Chaplin Productions'],Awards 3 wins total,,22 Critic reviews,One of the more absurd Chaplin films,"['Slapstick', 'Comedy', 'Western']","['None', 'English']",,,7.2,6261.0,TV-G,"escaped convict,silent era,1920s,preacher,escaped prisoner",https://m.media-amazon.com/images/M/MV5BZTA3OTQxOWUtMmEwNC00ZWRmLTgyNjItOWY0ZjY2YThjMGI2XkEyXkFqcGc@._V1_.jpg,['Charles Chaplin'],['Charles Chaplin'],"['Charles Chaplin', 'Edna Purviance', 'Syd Chaplin']",47.0,,,,,,,,,,,,,"['February 19, 1923: (Janesville, Wisconsin)', 'August 27, 1923: (London)']","['February 19, 1923: (Janesville, Wisconsin)', 'August 27, 1923: (London)']",,,610772.0,,,,,,47.0,2.0,1920.0,Sunday,18,3,1,False
10. Hollywood,1923,1h 20m,Passed,6.6,98,,"Angela comes to Hollywood with only two things: her dream to become a movie star, and Grandpa. She leaves Grandma, an aunt, her brother, and her longtime boyfriend back in Centerville. Despite seeing major movie stars around every corner and knocking on every casting office door in town, at the end of her first day she is still unemployed. To her horror, when she arrives back at their hotel, she finds that Grandpa has been cast in a movie by William DeMille and quickly becomes a star during the ensuing weeks. Her family, worried that Angela and Grandpa are getting into trouble, come to Hollywood to drag them back home. In short order Aunt, Grandma, brother, boyfriend, and even the parrot become superstars, but Angela is still unemployed.",https://www.imdb.com/title/tt0014137/?ref_=sr_i_10,"['Frank Condon', 'Thomas J. Geraghty']",['James Cruze'],"['Hope Drown', 'Luke Cosgrave', 'George K. Arthur', 'Ruby Lafayette', 'Harris Gordon', 'Bess Flowers', 'Eleanor Lawson', 'King Zany', ""Roscoe 'Fatty' Arbuckle"", 'Richard Arlen', 'Gertrude Astor', 'Mary Astor', 'Agnes Ayres', 'Baby Peggy', 'T. Roy Barnes', 'Noah Beery', 'William Boyd', 'Clarence Burton']","['Angela Whitaker', 'Joel Whitaker', 'Lem Lefferts', 'Grandmother Whitaker', 'Dr. Luke Morrison', 'Hortense Towers', 'Margaret Whitaker', 'Horace Pringle', 'Fatty Arbuckle', 'Richard Arlen', 'Gertrude Astor', 'Mary Astor', 'Agnes Ayres', 'Baby Peggy Montgomery', 'T. Roy Barnes', 'Noah Barry', 'William Boyd', 'Clarence BUrton']","$202,000 (estimated)",,,,"August 11, 1923",['United States'],"['Egyptian Theatre - 6712 Hollywood Boulevard, Hollywood, Los Angeles, California, USA']",['Paramount Pictures'],Awards 2 wins total,,1 Critic review,10,"['Comedy', 'Drama']","['None', 'English']",,,6.6,98.0,Passed,"lost film,golden age of hollywood,hollywood,place name in title,cameo appearance",https://m.media-amazon.com/images/M/MV5BYmQ4OGVlOGItNTAzYy00Yjc4LWExODEtMzIxZmI1NjUyZWUyXkEyXkFqcGc@._V1_.jpg,['James Cruze'],"['Frank Condon', 'Thomas J. Geraghty']","['Hope Drown', 'Luke Cosgrave', 'George K. Arthur']",80.0,,,,,,,,,,,,,,,202000.0,,,,,,,,80.0,8.0,1920.0,Saturday,18,2,1,False
