link,writers,directors,stars,characters,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,awards_wins_nominations_total,critic_reviews_count,user_reviews_count,genres,Languages,similar_movies,similar_movies_links,json_ld_rating,json_ld_vote_count,json_ld_content_rating,json_ld_keywords,json_ld_poster_url,json_ld_directors,json_ld_writers,json_ld_actors,json_ld_runtime_minutes,sex_nudity_severity,violence_gore_severity,profanity_severity,alcohol_drugs_smoking_severity,frightening_intense_scenes_severity,producers,composer,cinematographer,editor,casting_director,production_designer,costume_designer,release_dates_by_country,aka_titles
https://www.imdb.com/title/tt0015648/?ref_=sr_i_1,"['Nina Agadzhanova', 'Grigoriy Aleksandrov', 'Nikolay Aseev']",['Sergei Eisenstein'],"['Aleksandr Antonov', 'Vladimir Barskiy', 'Grigoriy Aleksandrov', 'Ivan Bobrov', 'Mikhail Gomorov', 'Aleksandr Levshin', 'Nina Poltavtseva', 'Konstantin Feldman', 'Prokhorenko', 'A. Glauberman', 'Beatrice Vitoldi', 'Daniil Antonovich', 'Iona Biy-Brodskiy', 'Julia Eisenstein', 'Sergei Eisenstein', 'Andrey Fayt', 'Korobey', 'Marusov']","['Grigory Vakulinchuk', 'Commander Golikov', 'Chief Officer Giliarovsky', 'Young Sailor Flogged While Sleeping', 'Militant Sailor', 'Petty Officer', 'Woman With Pince-nez', 'Student Agitator', 'Mother Carrying Wounded Boy', 'Wounded Boy', 'Woman With Baby Carriage', 'Sailor', 'Student', 'Woman with Food for Sailors', 'Odessa Citizen', 'Recruit', 'Legless Veteran', 'Officer']",,"$5,641","$100,749","$51,198","December 24, 1925",['Soviet Union'],"['Sevastopol, Crimea, Ukraine (battleship scenes)']",['Mosfilm'],Awards 1 win total,,117 Critic reviews,A true Masterpiece from Eisentstein,"['Docudrama', 'Historical Epic', 'Period Drama', 'War Epic', 'Drama', 'History', 'Thriller', 'War']","['None', 'Russian', 'English']",,,7.9,65411.0,Not Rated,"year 1905,1905 russian revolution,warship,protest,battleship",https://m.media-amazon.com/images/M/MV5BMTEyMTQzMjQ0MTJeQTJeQWpwZ15BbWU4MDcyMjg4OTEx._V1_.jpg,['Sergei Eisenstein'],"['Nina Agadzhanova', 'Grigoriy Aleksandrov', 'Nikolay Aseev']","['Aleksandr Antonov', 'Vladimir Barskiy', 'Grigoriy Aleksandrov']",66.0,None,Moderate,None,None,Moderate,,,,,,,,"['November 12, 1925: (Cine Club De France, Paris)']","['November 12, 1925: (Cine Club De France, Paris)']"
https://www.imdb.com/title/tt0015864/?ref_=sr_i_2,['Charles Chaplin'],['Charles Chaplin'],"['Charles Chaplin', 'Mack Swain', 'Tom Murray', 'Henry Bergman', 'Malcolm Waite', 'Georgia Hale', 'Jack Adams', 'Frank Aderias', 'Leona Aderias', 'Lillian Adrian', 'Sam Allen', 'Claude Anderson', 'Harry Arras', 'Billy Atkins', 'Albert Austin', 'F.J. Beauregard', 'Marta Belfort', 'William Bell']","['The Lone Prospector', 'Big Jim McKay', 'Black Larsen', 'Hank Curtis', 'Jack Cameron', 'Georgia', 'Man in Dance Hall', 'Eskimo Child', 'Eskimo Child', 'Woman in Dance Hall', 'Man in Dance Hall', 'Man in Dance Hall', ""Georgia's Friend"", 'Extra on Boat', 'Prospector', 'Man in Dance Hall', 'Woman in Dance Hall', 'Man in Dance Hall']","$923,000 (estimated)",,"$83,020",,"August 16, 1925",['United States'],"['Sierra Nevada Mountains, California, USA']",['Charles Chaplin Productions'],Top rated movie #208 Nominated for 2 Oscars 7 wins & 3 nominations total,7 wins & 3 nominations total,121 Critic reviews,Chaplin's best--what a film!,"['Farce', 'Feel-Good Romance', 'Romantic Comedy', 'Satire', 'Slapstick', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Western']","['None', 'English']",,,8.1,128619.0,Approved,"klondike gold rush,klondike,national film registry,gold,gold rush",https://m.media-amazon.com/images/M/MV5BNGU1NjYzYTAtZmY0YS00NWIzLTkzNzUtYzc2ZTIyOTIxZjVhXkEyXkFqcGc@._V1_.jpg,['Charles Chaplin'],['Charles Chaplin'],"['Charles Chaplin', 'Mack Swain', 'Tom Murray']",95.0,None,Mild,None,Mild,Mild,,,,,,,,"[""June 26, 1925: (Grauman's Egyptian Theatre, Hollywood, California, premiere)"", 'August 15, 1925: (New York City, New York)']","[""June 26, 1925: (Grauman's Egyptian Theatre, Hollywood, California, premiere)"", 'August 15, 1925: (New York City, New York)']"
https://www.imdb.com/title/tt0016220/?ref_=sr_i_3,"['Gaston Leroux', 'Walter Anthony', 'Elliott J. Clawson']","['Rupert Julian', 'Lon Chaney', 'Ernst Laemmle']","['Lon Chaney', 'Mary Philbin', 'Norman Kerry', 'Arthur Edmund Carewe', 'Gibson Gowland', 'John St. Polis', 'Snitz Edwards', 'Mary Fabian', 'Virginia Pearson', 'Alma Wayne', 'Olive Ann Alcorn', 'Betty Allen', 'Betty Arthur', 'Joseph Belmont', 'Alexander Bevani', 'Earl Gordon Bostwick', 'Ethel Broadhurst', 'Edward Cecil']","['The Phantom', 'Christine Daae', 'Vicomte Raoul de Chagny', 'Ledoux', 'Simon Buquet', 'Comte Philip de Chagny', 'Florine Papillon', 'Carlotta', 'Carlotta', 'Undetermined Secondary Role', 'La Sorelli', 'Ballerina', 'Ballet Dancer', 'Stage Manager', 'Mephistopheles', 'Minor Role', 'Frightened Ballerina', 'Faust']",,,"$8,883",,"November 15, 1925",['United States'],"['Stage 28, Universal Studios - 100 Universal City Plaza, Universal City, California, USA (Opera)']",['Universal Pictures'],Awards 4 wins & 1 nomination total,4 wins & 1 nomination total,112 Critic reviews,A classic of silent horror.,"['Tragedy', 'Horror', 'Music']",['English'],,,7.5,22371.0,Passed,"phantom of the opera,opera,opera house,masked ball,secret door",https://m.media-amazon.com/images/M/MV5BMGE4MDQ0ZjEtMWIwNi00YWVlLTk3NTQtMzViMGRlYjA4NzdlXkEyXkFqcGc@._V1_.jpg,"['Rupert Julian', 'Lon Chaney', 'Ernst Laemmle']","['Gaston Leroux', 'Walter Anthony', 'Elliott J. Clawson']","['Lon Chaney', 'Mary Philbin', 'Norman Kerry']",93.0,None,Mild,None,None,Moderate,,,,,,,,"['January 7, 1925: (Los Angeles, California, premiere)', 'April 26, 1925: (Curran Theatre, San Francisco, California, premiere)', 'September 6, 1925: (Astor Theatre, New York City, New York, premiere)']","['January 7, 1925: (Los Angeles, California, premiere)', 'April 26, 1925: (Curran Theatre, San Francisco, California, premiere)', 'September 6, 1925: (Astor Theatre, New York City, New York, premiere)']"
https://www.imdb.com/title/tt0016332/?ref_=sr_i_4,"['Roi Cooper Megrue', 'Clyde Bruckman', 'Jean C. Havez']",['Buster Keaton'],"['Buster Keaton', 'Ruth Dwyer', 'T. Roy Barnes', 'Snitz Edwards', 'Frances Raymond', 'Erwin Connelly', 'Jules Cowles', 'Eugenia Gilbert', 'Doris Deane', 'Judy King', 'Hazel Deane', 'Bartine Burkett', 'Connie Evans', 'Pauline Toller', 'Jean Arthur', 'Lori Bara', 'Rosalind Byrne', 'Louise Carver']","['James Shannon', 'His Girl', 'His Partner', 'His Lawyer', 'Her Mother', 'The Clergyman', 'The Hired Hand', 'First Chance: Girl Who Laughs at Jimmie at the Club', 'Second Chance: Girl Who Laughs at Jimmie at the Golf Course', ""Third Chance: Girl Who Shreds 'Will You Marry Me' Note"", 'Fourth Chance: Girl Who Refuses on a False Assumption', 'Fifth Chance: Girl Proposed to Going Up the Staircase', 'Sixth Chance: Girl Proposed to Going Down the Staircase', 'Seventh Chance: Girl Proposed to in the Phone Booth', 'Miss Smith - Office Receptionist', 'Mother of Underage Girl', 'Hat Check Girl', 'Prospective Bride Who Operates Crane']",,,$268,,"March 15, 1925",['United States'],"['Buster Keaton Studios - 1025 Lillian Way, Hollywood, California, USA (Studio)']",['Buster Keaton Productions'],Awards 1 win & 1 nomination total,1 win & 1 nomination total,62 Critic reviews,Sweet little Keaton movie.,"['Quirky Comedy', 'Slapstick', 'Comedy', 'Romance']","['None', 'English']",,,7.8,13313.0,Passed,"slapstick comedy,desperate to marry,deadline for marriage,marriage for money,directed by star",https://m.media-amazon.com/images/M/MV5BNjA4YzJiZmItNTVmOC00YjI1LWFiOGEtNmM1MmU2MTQ3OTE1XkEyXkFqcGc@._V1_.jpg,['Buster Keaton'],"['Roi Cooper Megrue', 'Clyde Bruckman', 'Jean C. Havez']","['Buster Keaton', 'Ruth Dwyer', 'T. Roy Barnes']",56.0,None,None,None,Mild,None,,,,,,,,,
https://www.imdb.com/title/tt0015361/?ref_=sr_i_5,"['Grigoriy Aleksandrov', 'Sergei Eisenstein', 'Ilya Kravchunovsky']",['Sergei Eisenstein'],"['Grigoriy Aleksandrov', 'Maksim Shtraukh', 'Mikhail Gomorov', 'I. Ivanov', 'Ivan Klyukvin', 'Aleksandr Antonov', 'Yudif Glizer', 'Anatoliy Kuznetsov', 'Vera Yanukova', 'Vladimir Uralskiy', 'Boris Yurtsev', 'Leonid Alekseev', 'Daniil Antonovich', 'Pyotr Malek', 'Misha Mamin', 'Pavel Poltoratskiy']","['Factory Foreman', 'Police Spy', 'Yakov Strongin - Worker', 'Chief of Police', 'Revolutionary', 'Member of Strike Committee', 'Queen of Thieves', None, ""Worker's Wife"", None, 'King of Thieves', 'Factory Sleuth', 'Worker', 'Police Spy', 'Baby Boy', 'Stockholder']",,,,,1961,['Soviet Union'],,"['Kinostudiya imeni M. Gorkogo', '1-ya Goskino Fabrika', 'Goskino']",,,40 Critic reviews,Propaganda masterpiece,"['Political Drama', 'Drama']",['None'],,,7.6,9565.0,Not Rated,"anti capitalism,communist propaganda,communism,labor movement,tsarist russia",https://m.media-amazon.com/images/M/MV5BMDA0MmE2M2UtNmIyZS00NjEyLTg4NDItZWMyMDU1MjA2MmJkXkEyXkFqcGc@._V1_.jpg,['Sergei Eisenstein'],"['Grigoriy Aleksandrov', 'Sergei Eisenstein', 'Ilya Kravchunovsky']","['Grigoriy Aleksandrov', 'Maksim Shtraukh', 'Mikhail Gomorov']",82.0,Mild,Severe,None,Mild,Moderate,,,,,,,,"['October 25, 1925: (Paris Exposition)', 'October 1961: (limited)', 'November 7, 1967: (Filmmúzeum)']","['October 25, 1925: (Paris Exposition)', 'October 1961: (limited)', 'November 7, 1967: (Filmmúzeum)']"
https://www.imdb.com/title/tt0016641/?ref_=sr_i_6,"['Lew Wallace', 'June Mathis', 'Carey Wilson']","['Fred Niblo', 'Charles Brabin', 'Christy Cabanne']","['Ramon Novarro', 'Francis X. Bushman', 'May McAvoy', 'Betty Bronson', 'Claire McDowell', 'Kathleen Key', 'Carmel Myers', 'Nigel De Brulier', 'Mitchell Lewis', 'Leo White', 'Frank Currier', 'Charles Belcher', 'Dale Fuller', 'Winter Hall', 'Reginald Barker', 'John Barrymore', 'Lionel Barrymore', 'Clarence Brown']","['Ben-Hur', 'Messala', 'Esther', 'Mary', 'Princess of Hur', 'Tirzah', 'Iras', 'Simonides', 'Sheik Ilderim', 'Sanballat', 'Arrius', 'Balthazar', 'Amrah', 'Joseph', 'Chariot Race Spectator', 'Chariot Race Spectator', 'Chariot Race Spectator', 'Chariot Race Spectator']","$3,950,000 (estimated)",,,,"October 8, 1927",['United States'],"['Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA (the chariot race)']",['Metro-Goldwyn-Mayer (MGM)'],Awards 4 wins total,,33 Critic reviews,Silent and stunning version about the known hero set in the Roman empire at the time of Christ,"['Adventure Epic', 'Epic', 'Action', 'Adventure', 'Drama', 'Romance']","['None', 'English']",,,7.8,8429.0,Not Rated,"1st century,childhood friend,false accusation,slavery,sword and sandal",https://m.media-amazon.com/images/M/MV5BMjQ4MTFjODUtMzBlNy00ODc4LWJmMDctZDM0YjczZDdhMGNjXkEyXkFqcGc@._V1_.jpg,"['Fred Niblo', 'Charles Brabin', 'Christy Cabanne']","['Lew Wallace', 'June Mathis', 'Carey Wilson']","['Ramon Novarro', 'Francis X. Bushman', 'May McAvoy']",143.0,Mild,Mild,None,None,Mild,,,,,,,,"['December 30, 1925: (New York City, New York)', 'August 2, 1926: (Los Angeles, California)', 'October 1926: (Prague)']","['December 30, 1925: (New York City, New York)', 'August 2, 1926: (Los Angeles, California)', 'October 1926: (Prague)']"
https://www.imdb.com/title/tt0016039/?ref_=sr_i_7,"['Arthur Conan Doyle', 'Marion Fairfax']",['Harry O. Hoyt'],"['Wallace Beery', 'Bessie Love', 'Lloyd Hughes', 'Lewis Stone', 'Alma Bennett', 'Arthur Hoyt', 'Margaret McWade', 'Bull Montana', 'Frank Finch Smiles', 'Jules Cowles', 'George Bunny', 'Charles Wellesley', 'Jocko the Monkey', 'Arthur Conan Doyle', 'Mary the Chimpanzee', 'Malcolm Denny', 'Virginia Brown Faire', 'Holmes Herbert']","['Prof. Challenger', 'Paula White', 'Ed Malone', 'Sir John Roxton', 'Gladys Hungerford', 'Prof. Summerlee', 'Mrs. Challenger', 'Ape-man', 'Austin', 'Zambo', 'Colin McArdle', 'Maj. Hibbard', 'Jocko - the Monkey', 'Sir Arthur Conan Doyle', 'Mary - the Chimpanzee', 'Undetermined Secondary Role', 'Marquette - Half-Caste Girl', 'Undetermined Secondary Role']",,,"$2,834,000","$1,194,450","June 22, 1925",['United States'],"['Biograph Studios, Bronx, New York City, New York, USA (live action sequences)']",['First National Pictures'],Awards 2 wins & 2 nominations total,2 wins & 2 nominations total,82 Critic reviews,A Sumptuous Crowd Pleaser,"['Dinosaur Adventure', 'Jungle Adventure', 'Quest', 'Adventure', 'Fantasy', 'Horror', 'Romance', 'Sci-Fi', 'Thriller']",['English'],,,7.0,6659.0,Passed,"plateau,dinosaur,expedition,missing father,professor",https://m.media-amazon.com/images/M/MV5BZjgzZWZhMDYtMDA2YS00MDQ5LWFiNTEtNjRkOTc1MDY5Mzg3XkEyXkFqcGc@._V1_.jpg,['Harry O. Hoyt'],"['Arthur Conan Doyle', 'Marion Fairfax']","['Wallace Beery', 'Bessie Love', 'Lloyd Hughes']",110.0,None,Mild,None,Mild,Mild,,,,,,,,"['February 2, 1925: (premiere)']","['February 2, 1925: (premiere)']"
https://www.imdb.com/title/tt0015624/?ref_=sr_i_8,"['Laurence Stallings', 'Harry Behn', 'Joseph Farnham']","['King Vidor', 'George W. Hill']","['John Gilbert', 'Renée Adorée', 'Hobart Bosworth', 'Claire McDowell', 'Claire Adams', 'Robert Ober', ""Tom O'Brien"", 'Karl Dane', 'Rosita Marstini', 'Arthur H. Allen', 'George Beranger', 'Harry Crocker', 'Julanne Johnston', 'Kathleen Key', 'Dan Mason', ""Carl 'Major' Roup"", 'Carl Voss']","['James Apperson', 'Melisande', 'Mr. Apperson', 'Mrs. Apperson', 'Justyn Reed', 'Harry', 'Bull', 'Slim', 'French Mother', 'Dying German', 'Patriotic Letter Reader', 'Doughboy', 'Justine Devereux', 'Miss Apperson', 'Second Patriotic Letter Reader', 'Doughboy', 'Officer']","$245,000 (estimated)",,,,"December 3, 1925",['United States'],"['Kelly Field, San Antonio, Texas, USA']",['Metro-Goldwyn-Mayer (MGM)'],Awards 6 wins total,,50 Critic reviews,Outstanding Silent Film,"['Coming-of-Age', 'Epic', 'Romantic Epic', 'War Epic', 'Drama', 'Romance', 'War']","['None', 'English', 'French']",,,7.9,7881.0,Not Rated,"1910s,national film registry,blockbuster,france,epic war",https://m.media-amazon.com/images/M/MV5BNjY2MTA1MjExNV5BMl5BanBnXkFtZTgwNzQ2ODAyMjE@._V1_.jpg,"['King Vidor', 'George W. Hill']","['Laurence Stallings', 'Harry Behn', 'Joseph Farnham']","['John Gilbert', 'Renée Adorée', 'Hobart Bosworth']",151.0,Mild,Mild,None,Mild,Mild,,,,,,,,"['November 5, 1925: (Los Angeles, California)', 'November 19, 1925: (limited)', 'May 17, 1926: (Montréal)']","['November 5, 1925: (Los Angeles, California)', 'November 19, 1925: (limited)', 'May 17, 1926: (Montréal)']"
https://www.imdb.com/title/tt0016230/?ref_=sr_i_9,"['Eliot Stannard', 'Oliver Sandys']",['Alfred Hitchcock'],"['Virginia Valli', 'Carmelita Geraghty', 'Miles Mander', 'John Stuart', 'Ferdinand Martini', 'Florence Helminger', 'Georg H. Schnell', 'Karl Falkenberg', 'Louis Brody', 'Elizabeth Pappritz']","['Patsy Brand', 'Jill Cheyne', 'Levet', 'Hugh Fielding', 'Mr. Sidey', 'Mrs. Sidey', 'Oscar Hamilton', 'Prince Ivan', 'Plantation Manager', 'Native Girl']",,,,,1926,"['United Kingdom', 'Germany']","['Alassio, Savona, Liguria, Italy']","['Bavaria Film', 'Gainsborough Pictures', 'Münchner Lichtspielkunst AG (Emelka)']",,,23 Critic reviews,A rather forgettable silent film (even though it was made by the great Alfred Hitchcock),"['Drama', 'Romance']",['None'],,,5.7,3282.0,,"chorus girl,directorial debut,honeymoon,haunted by own murder victim,murder by drowning",https://m.media-amazon.com/images/M/MV5BNTdmNjFjY2MtNDFhMi00NTVjLTgxNjctODA3NWViOWNjZjZhXkEyXkFqcGc@._V1_.jpg,['Alfred Hitchcock'],"['Eliot Stannard', 'Oliver Sandys']","['Virginia Valli', 'Carmelita Geraghty', 'Miles Mander']",75.0,None,None,None,None,None,,,,,,,,"['November 3, 1925: (Munich)', 'March 1, 1926: (London, premiere)']","['November 3, 1925: (Munich)', 'March 1, 1926: (London, premiere)']"
https://www.imdb.com/title/tt0015841/?ref_=sr_i_10,"['Sam Taylor', 'Ted Wilde', 'John Grey']","['Fred C. Newmeyer', 'Sam Taylor']","['Harold Lloyd', 'Jobyna Ralston', 'Brooks Benedict', 'James H. Anderson', 'Hazel Keener', 'Joseph Harrington', 'Pat Harmon', 'Leon Beaumon', 'Ethel Broadhurst', 'Roy Brooks', 'Rosalind Byrne', 'Charles Farrell', 'Wally Howe', 'Gus Leonard', 'King Lockwood', 'George Marion', 'The Wonder Dog Pal', 'Oscar Smith']","['Harold Lamb aka Speedy', 'Peggy', 'The College Cad', 'The College Hero', 'The College Belle', 'The College Tailor', 'The Football Coach', 'Student', 'Woman watching away when Harold lost pants', 'Tall Student', 'Girl Caught in Suspenders at Dance', 'Student Bell Ringer at Frolic', 'Gardener', ""Waiter Who Takes Harold's Pants"", 'Student', 'Train Passenger', 'Pete the Dog', ""Dean's Chauffeur""]","$301,681 (estimated)",,,,"September 20, 1925",['United States'],"['Rose Bowl - 1001 Rose Bowl Drive, Pasadena, California, USA (game sequences)']",['The Harold Lloyd Corporation'],Awards 3 wins total,,45 Critic reviews,Probably Harold Lloyd's best,"['Comedy', 'Family', 'Romance', 'Sport']","['None', 'English']",,,7.5,6644.0,Not Rated,"nickname,coach,trousers,national film registry,big man on campus",https://m.media-amazon.com/images/M/MV5BMGI5NWY1YTgtMGYzNS00NGE0LThiM2UtZmU5NGI2NjBmMDRiXkEyXkFqcGc@._V1_.jpg,"['Fred C. Newmeyer', 'Sam Taylor']","['Sam Taylor', 'Ted Wilde', 'John Grey']","['Harold Lloyd', 'Jobyna Ralston', 'Brooks Benedict']",77.0,None,Mild,None,Mild,None,,,,,,,,"['August 17, 1925: (Ocean Grove, New Jersey)', 'August 27, 1925: (Los Angeles, California)']","['August 17, 1925: (Ocean Grove, New Jersey)', 'August 27, 1925: (Los Angeles, California)']"
