Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. One Hundred and One Dalmatians,1961,1h 19m,G,7.3,187K,,"When a litter of Dalmatian puppies are abducted by the minions of Cruella De Vil, the owners must find them before she uses them for a diabolical fashion statement.",https://www.imdb.com/title/tt0055254/?ref_=sr_i_1
2. West Side Story,1961,2h 33m,Approved,7.6,123K,,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",https://www.imdb.com/title/tt0055614/?ref_=sr_i_2
3. The Guns of Navarone,1961,2h 38m,Not Rated,7.5,57K,,"A team of Allied saboteurs is assigned an impossible mission: infiltrate an impregnable Nazi-held Greek island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",https://www.imdb.com/title/tt0054953/?ref_=sr_i_3
4. El Cid,1961,3h 2m,Approved,7.2,16K,,The fabled Spanish hero Rodrigo Diaz de Vivar (a.k.a. El Cid) overcomes a family vendetta and court intrigue to defend Christian Spain against the Moors.,https://www.imdb.com/title/tt0054847/?ref_=sr_i_4
5. The Absent Minded Professor,1961,1h 37m,Approved,6.7,9.5K,,A college professor invents an anti-gravity substance which a corrupt businessman wants for himself.,https://www.imdb.com/title/tt0054594/?ref_=sr_i_5
6. Lover Come Back,1961,1h 47m,Approved,7.1,9.1K,,"A series of misunderstandings leaves an advertising executive with a campaign for a product which has not yet been invented, while he romances his rival in the guise of its inventor.",https://www.imdb.com/title/tt0055100/?ref_=sr_i_6
7. King of Kings,1961,2h 48m,PG-13,7.0,9.2K,,"The temporary physical life of the Biblical Savior, Jesus Christ.",https://www.imdb.com/title/tt0055047/?ref_=sr_i_7
8. Come September,1961,1h 52m,Approved,6.9,4.2K,,"Younger generation vs. ""older"" folks on vacation at an Italian villa.",https://www.imdb.com/title/tt0054759/?ref_=sr_i_8
9. Flower Drum Song,1961,2h 13m,Approved,6.9,3.8K,,"A young woman arrives in San Francisco's Chinatown from Hong Kong with the intention of marrying a rakish nightclub owner, unaware he is involved with one of his singers.",https://www.imdb.com/title/tt0054885/?ref_=sr_i_9
10. Blue Hawaii,1961,1h 42m,PG,6.1,7.8K,,"After arriving back in Hawaii from the Army, Chad Gates defies his parents' wishes for him to work at the family business and instead goes to work as a tour guide at his girlfriend's agency.",https://www.imdb.com/title/tt0054692/?ref_=sr_i_10
11. Babes in Toyland,1961,1h 46m,Approved,6.1,4.9K,,"Mary Contrary is set to marry Tom Piper when he is kidnapped by Roderigo and Gonzorgo, two goons working for the evil Barnaby who wants to marry Mary for her inheritance.",https://www.imdb.com/title/tt0054649/?ref_=sr_i_11
12. Fanny,1961,2h 14m,Approved,6.8,2.7K,,"Young Marius dreams of leaving his dull provincial life and seeing the world. When the beautiful Fanny declares her adoration for him, Marius must choose between an adventurous life at sea and the grandest adventure of all: love.",https://www.imdb.com/title/tt0054866/?ref_=sr_i_12
13. One-Eyed Jacks,1961,2h 21m,Not Rated,7.1,14K,,"After they rob a bank in Mexico, Dad Longworth absconds with the loot leaving his partner, Rio, to be captured by the Rurales. 5 years later, Rio escapes from prison and seeks revenge on Longworth, but falls in love with his step-daughter.",https://www.imdb.com/title/tt0055257/?ref_=sr_i_13
14. The Misfits,1961,2h 5m,Approved,7.2,24K,,A divorcée falls for an over-the-hill cowboy who is struggling to maintain his romantically independent lifestyle.,https://www.imdb.com/title/tt0055184/?ref_=sr_i_14
15. Splendor in the Grass,1961,2h 4m,Approved,7.7,23K,,"The love of high school sweethearts Deanie and Bud is weighed down by the oppressive expectations of their parents and society in smalltown Kansas in 1928, threatening the future of their relationship.",https://www.imdb.com/title/tt0055471/?ref_=sr_i_15
16. The Hustler,1961,2h 14m,Approved,7.9,88K,,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,https://www.imdb.com/title/tt0054997/?ref_=sr_i_16
17. The Last Sunset,1961,1h 52m,Approved,6.7,3.9K,,"At a Mexican ranch, fugitive O'Malley and pursuing Sheriff Stribling agree to help rancher Breckenridge drive his herd into Texas where Stribling could legally arrest O'Malley, but Breckenridge's wife complicates things.",https://www.imdb.com/title/tt0055073/?ref_=sr_i_17
18. Barabbas,1961,2h 17m,Approved,6.9,7.2K,,"Governor Pontius Pilate gave the populace a choice to spare either Barabbas, a criminal, or Jesus, condemned as a heretic, from crucifixion. The masses chose Barrabas, and he is haunted by the image of Jesus for the rest of his life.",https://www.imdb.com/title/tt0055774/?ref_=sr_i_18
19. Pocketful of Miracles,1961,2h 16m,Approved,7.1,8.2K,,"New York bootlegger Dave the Dude and his girlfriend Elizabeth ""Queenie"" Martin try to turn boozy street beggar Apple Annie into a society lady when Annie learns that her daughter Louise is marrying the son of a Spanish count.",https://www.imdb.com/title/tt0055312/?ref_=sr_i_19
20. The Pit and the Pendulum,1961,1h 20m,Approved,7.0,17K,,"In the sixteenth century, Francis Barnard travels to Spain to clarify the strange circumstances of his sister's death after she had married the son of a cruel Spanish Inquisitor.",https://www.imdb.com/title/tt0055304/?ref_=sr_i_20
21. The Innocents,1961,1h 40m,Approved,7.7,34K,,A young governess for two children becomes convinced that the house and grounds are haunted.,https://www.imdb.com/title/tt0055018/?ref_=sr_i_21
22. Snow White and the Three Stooges,1961,1h 47m,PG,5.2,1.2K,,An ice-skating Snow White finds refuge from the Wicked Queen with the Three Stooges.,https://www.imdb.com/title/tt0055458/?ref_=sr_i_22
23. Paris Blues,1961,1h 38m,Approved,6.7,4.1K,,"During the 1960s, two American expatriate jazz musicians living in Paris meet and fall in love with two American tourist girls.",https://www.imdb.com/title/tt0055278/?ref_=sr_i_23
24. The Last Time I Saw Archie,1961,1h 38m,Approved,5.7,457,,Two Air Force friends have fun during their enlistment.,https://www.imdb.com/title/tt0055074/?ref_=sr_i_24
25. A Woman Is a Woman,1961,1h 24m,Not Rated,7.3,20K,,A stripper who's desperate to become a mother accepts her reluctant boyfriend's suggestion that she be impregnated by his best friend.,https://www.imdb.com/title/tt0055572/?ref_=sr_i_25
26. Three Daughters,1961,1h 54m,Passed,7.9,1.7K,,"Based on popular Indian stories of the great writer Rabindranath Tagore, these short films reveal definitive moments in the lives of three young girls.",https://www.imdb.com/title/tt0055508/?ref_=sr_i_26
27. Last Year at Marienbad,1961,1h 34m,Not Rated,7.6,26K,,"In a strange and isolated chateau, a man becomes acquainted with a woman and insists that they have met before.",https://www.imdb.com/title/tt0054632/?ref_=sr_i_27
"28. Léon Morin, Priest",1961,1h 57m,Not Rated,7.5,5.9K,,"Set during occupied France, a faithless woman finds herself falling in love with a young priest.",https://www.imdb.com/title/tt0055082/?ref_=sr_i_28
29. La Notte,1961,2h 2m,Not Rated,7.9,25K,,A day in the life of an unfaithful married couple and their steadily deteriorating relationship.,https://www.imdb.com/title/tt0054130/?ref_=sr_i_29
