Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,budget
1. The Bible in the Beginning...,1966,2h 54m,G,6.2,6.4K,,"Extravagant production of the first part of the book of Genesis. Its main highlights are the Garden of Eden, the first brothers, Noah and his family obeying God to build an ark for the Flood and Abraham's attempted sacrifice of Isaac.",https://www.imdb.com/title/tt0060164/?ref_=sr_i_1,,,
2. Hawaii,1966,3h 9m,Approved,6.5,3.7K,,"An American missionary and his wife travel to the exotic island kingdom of Hawaii, intent on converting the natives. But the clash between the two cultures is too great and instead of understanding there comes tragedy.",https://www.imdb.com/title/tt0060491/?ref_=sr_i_2,,,
3. A Man for All Seasons,1966,2h,G,7.7,38K,,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",https://www.imdb.com/title/tt0060665/?ref_=sr_i_3,,,
"4. Lt. Robin Crusoe, U.S.N.",1966,1h 50m,G,5.8,1.6K,,A Navy pilot is marooned on an island with a headhunter's daughter and outcast tribal women.,https://www.imdb.com/title/tt0060640/?ref_=sr_i_4,,,
5. The Russians Are Coming the Russians Are Coming,1966,2h 6m,Approved,7.0,11K,,"Without hostile intent, a Soviet submarine runs aground off New England. Men are sent for a boat, but many villagers go into a tizzy, risking bloodshed.",https://www.imdb.com/title/tt0060921/?ref_=sr_i_5,,,
6. Grand Prix,1966,2h 56m,Approved,7.2,11K,,"American Grand Prix driver Pete Aron is fired by his Jordan-BRM racing team after a crash at Monaco that injures his British teammate, Scott Stoddard.",https://www.imdb.com/title/tt0060472/?ref_=sr_i_6,,,
7. The Professionals,1966,1h 57m,PG-13,7.3,19K,,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,https://www.imdb.com/title/tt0060862/?ref_=sr_i_7,,,
8. Alfie,1966,1h 54m,PG,7.0,16K,,Unrepentant ladies' man Alfie Elkins gradually begins to understand the consequences of his lifestyle in 1960s London.,https://www.imdb.com/title/tt0060086/?ref_=sr_i_8,,,
9. Georgy Girl,1966,1h 39m,Approved,6.9,4.3K,,A young woman juggles an unwanted suitor's advances and her desire for an exciting life envying by her free-spirited roommate's social whirlwind.,https://www.imdb.com/title/tt0060453/?ref_=sr_i_9,,,
10. Our Man Flint,1966,1h 48m,Approved,6.4,7.3K,,"When scientists use eco-terrorism to impose their will on the world by affecting extremes in the weather, Intelligence Chief Cramden calls in top agent Derek Flint.",https://www.imdb.com/title/tt0059557/?ref_=sr_i_10,,,
11. Nevada Smith,1966,2h 8m,Approved,6.9,9.3K,,A half-American Indian / half-Caucasian young man evolves into a hardened killer as he tracks down the men who murdered his parents.,https://www.imdb.com/title/tt0060748/?ref_=sr_i_11,,,
12. The Ugly Dachshund,1966,1h 33m,Approved,6.5,4.8K,,The Garrisons live with a Great Dane who thinks he's a dainty dachshund. His identity crisis results in an uproarious series of household crises that reduce the Garrisons' house to shambles.,https://www.imdb.com/title/tt0061135/?ref_=sr_i_12,,,
13. Walk Don't Run,1966,1h 54m,Approved,6.6,4.7K,,"During the housing shortage of the Summer Olympic Games in 1964, two men and a woman share a small apartment in Tokyo, and the older man soon starts playing Cupid to the younger pair.",https://www.imdb.com/title/tt0061170/?ref_=sr_i_13,,,
14. Stagecoach,1966,1h 55m,Approved,6.1,2.3K,,"On the stagecoach to Cheyenne, a mixed group of passengers must work together to survive the arduous journey and the Indian attacks.",https://www.imdb.com/title/tt0061024/?ref_=sr_i_14,,,
15. Khartoum,1966,2h 8m,Approved,6.8,8.5K,,"In the Sudan, in 1884 to 1885, Egyptian forces led by British General Charles ""Chinese"" Gordon (Charlton Heston) defend Khartoum against an invading Muslim Army led by a religious fanatic, Mohammed Ahmed el Mahdi (Sir Laurence Olivier).",https://www.imdb.com/title/tt0060588/?ref_=sr_i_15,,,
