Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. American Sniper,https://www.imdb.com/title/tt2179136/?ref_=sr_t_1,2014,2h 13m,R,7.3,543K
2. The Hunger Games: Mockingjay - Part 1,https://www.imdb.com/title/tt1951265/?ref_=sr_t_2,2014,2h 3m,PG-13,6.6,516K
3. Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/?ref_=sr_t_3,2014,2h 1m,PG-13,8.0,1.3M
4. Captain America: The Winter Soldier,https://www.imdb.com/title/tt1843866/?ref_=sr_t_4,2014,2h 16m,PG-13,7.7,920K
5. The Lego Movie,https://www.imdb.com/title/tt1490017/?ref_=sr_t_5,2014,1h 40m,PG,7.7,397K
6. The Hobbit: The Battle of the Five Armies,https://www.imdb.com/title/tt2310332/?ref_=sr_t_6,2014,2h 24m,R,7.4,589K
7. Transformers: Age of Extinction,https://www.imdb.com/title/tt2109248/?ref_=sr_t_7,2014,2h 45m,PG-13,5.6,337K
8. Maleficent,https://www.imdb.com/title/tt1587310/?ref_=sr_t_8,2014,1h 37m,PG,6.9,408K
9. X-Men: Days of Future Past,https://www.imdb.com/title/tt1877832/?ref_=sr_t_9,2014,2h 12m,PG-13,7.9,762K
10. Big Hero 6,https://www.imdb.com/title/tt2245084/?ref_=sr_t_10,2014,1h 42m,PG,7.8,520K
11. Dawn of the Planet of the Apes,https://www.imdb.com/title/tt2103281/?ref_=sr_t_11,2014,2h 10m,PG-13,7.6,495K
12. The Amazing Spider-Man 2,https://www.imdb.com/title/tt1872181/?ref_=sr_t_12,2014,2h 22m,PG-13,6.6,554K
13. Interstellar,https://www.imdb.com/title/tt0816692/?ref_=sr_t_13,2014,2h 49m,PG-13,8.7,2.2M
14. Godzilla,https://www.imdb.com/title/tt0831387/?ref_=sr_t_14,2014,2h 3m,PG-13,6.4,450K
15. 22 Jump Street,https://www.imdb.com/title/tt2294449/?ref_=sr_t_15,2014,1h 52m,R,7.0,417K
16. Teenage Mutant Ninja Turtles,https://www.imdb.com/title/tt1291150/?ref_=sr_t_16,2014,1h 41m,PG-13,5.8,224K
17. How to Train Your Dragon 2,https://www.imdb.com/title/tt1646971/?ref_=sr_t_17,2014,1h 42m,PG,7.8,375K
18. Gone Girl,https://www.imdb.com/title/tt2267998/?ref_=sr_t_18,2014,2h 29m,R,8.1,1.1M
19. Divergent,https://www.imdb.com/title/tt1840309/?ref_=sr_t_19,2014,2h 19m,PG-13,6.6,500K
20. Neighbors,https://www.imdb.com/title/tt2004420/?ref_=sr_t_20,2014,1h 37m,R,6.3,335K
