Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt2527336/?ref_=sr_t_1,317000000,1334407706,620181382,220009584,['Rian Johnson'],"['Rian Johnson', 'George Lucas']","['Daisy Ridley', 'John Boyega', 'Mark Hamill']","['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['United States'],[],[],['English'],0,99,4,2017
https://www.imdb.com/title/tt2771200/?ref_=sr_t_2,160000000,1266115964,504481165,174750616,['Bill Condon'],"['Stephen Chbosky', 'Evan Spiliotopoulos', 'Linda Woolverton']","['Emma Watson', 'Dan Stevens', 'Luke Evans']","['Dark Fantasy', 'Fairy Tale', 'Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",['United States'],[],[],['English'],0,81,2,2017
https://www.imdb.com/title/tt0451279/?ref_=sr_t_3,149000000,823970682,412845172,103251471,['Patty Jenkins'],"['Allan Heinberg', 'Zack Snyder', 'Jason Fuchs']","['Gal Gadot', 'Chris Pine', 'Robin Wright']","['Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'War']","['United States', 'China', 'Hong Kong']",[],[],"['English', 'German', 'Dutch', 'Flemish', 'French', 'Spanish', 'Chinese', 'Greek, Ancient (to 1453)', 'North American Indian']",0,75,0,2017
https://www.imdb.com/title/tt2283362/?ref_=sr_t_4,90000000,962544585,404540171,36169328,['Jake Kasdan'],"['Chris McKenna', 'Erik Sommers', 'Scott Rosenberg']","['Dwayne Johnson', 'Karen Gillan', 'Kevin Hart']","['Body Swap Comedy', 'High-Concept Comedy', 'Jungle Adventure', 'Quest', 'Supernatural Fantasy', 'Action', 'Adventure', 'Comedy', 'Fantasy']","['United States', 'Australia', 'Canada', 'Mexico', 'India', 'United Kingdom']",[],[],['English'],0,15,0,2017
https://www.imdb.com/title/tt3896198/?ref_=sr_t_5,200000000,863756903,389813101,146510104,['James Gunn'],"['James Gunn', 'Dan Abnett', 'Andy Lanning']","['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']","['Space Sci-Fi', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']",['United States'],[],[],['English'],0,60,1,2017
https://www.imdb.com/title/tt2250912/?ref_=sr_t_6,175000000,880944210,334952829,117027503,['Jon Watts'],"['Jonathan Goldstein', 'John Francis Daley', 'Jon Watts']","['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.']","['Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']",['United States'],[],[],"['English', 'Spanish']",0,10,0,2017
https://www.imdb.com/title/tt1396484/?ref_=sr_t_7,35000000,704242888,328874981,123403419,['Andy Muschietti'],"['Chase Palmer', 'Cary Joji Fukunaga', 'Gary Dauberman']","['Bill Skarsgård', 'Jaeden Martell', 'Finn Wolfhard']","['Monster Horror', 'Supernatural Horror', 'Horror']","['United States', 'Canada']",[],[],"['English', 'Hebrew']",0,49,0,2017
https://www.imdb.com/title/tt3501632/?ref_=sr_t_8,180000000,855301806,315058289,122744989,['Taika Waititi'],"['Eric Pearson', 'Craig Kyle', 'Christopher L. Yost']","['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett']","['Superhero', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['United States'],[],[],['English'],0,50,0,2017
https://www.imdb.com/title/tt3469046/?ref_=sr_t_9,80000000,1034800131,264624300,72434025,"['Kyle Balda', 'Pierre Coffin', 'Eric Guillon']","['Cinco Paul', 'Ken Daurio']","['Steve Carell', 'Kristen Wiig', 'Trey Parker']","['Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']","['United States', 'France', 'Japan']",[],[],['English'],0,0,0,2017
https://www.imdb.com/title/tt0974015/?ref_=sr_t_10,300000000,661326987,229024295,93842239,['Zack Snyder'],"['Jerry Siegel', 'Joe Shuster', 'Chris Terrio']","['Ben Affleck', 'Gal Gadot', 'Jason Momoa']","['Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['United States', 'Canada', 'United Kingdom']",[],[],"['English', 'Irish Gaelic', 'Russian', 'Icelandic']",0,15,0,2017
