Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Black Panther,https://www.imdb.com/title/tt1825683/?ref_=sr_t_1,2018,2h 14m,PG-13,7.3,860K,200000000,1349926083,700426566,202003951,['Ryan Coogler'],"['Ryan Coogler', 'Joe Robert Cole', 'Stan Lee']","['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o""]","['Superhero', 'Action', 'Adventure', 'Sci-Fi']",['United States'],[],[],"['English', 'Swahili', 'Nama', 'Xhosa', 'Korean']",0,290,0,2018
2. Avengers: Infinity War,https://www.imdb.com/title/tt4154756/?ref_=sr_t_2,2018,2h 29m,PG-13,8.4,1.3M,321000000,2052415039,678815482,257698183,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely', 'Stan Lee']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']","['Space Sci-Fi', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'Norway']",[],[],['English'],0,81,1,2018
3. Incredibles 2,https://www.imdb.com/title/tt3606756/?ref_=sr_t_3,2018,1h 58m,PG,7.5,345K,200000000,1243225667,608581744,182687905,['Brad Bird'],['Brad Bird'],"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell']","['Computer Animation', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']","['United States', 'Japan']",[],[],['English'],0,81,1,2018
4. Jurassic World: Fallen Kingdom,https://www.imdb.com/title/tt4881806/?ref_=sr_t_4,2018,2h 8m,PG-13,6.1,354K,170000000,1310469037,417719760,148024610,['J.A. Bayona'],"['Derek Connolly', 'Colin Trevorrow', 'Michael Crichton']","['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall']","['Dinosaur Adventure', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'China']",[],[],"['English', 'Russian']",0,26,0,2018
5. Aquaman,https://www.imdb.com/title/tt1477834/?ref_=sr_t_5,2018,2h 23m,PG-13,6.8,532K,160000000,1152028393,335104314,67873522,['James Wan'],"['David Leslie Johnson-McGoldrick', 'Will Beall', 'Geoff Johns']","['Jason Momoa', 'Amber Heard', 'Willem Dafoe']","['Globetrotting Adventure', 'Sea Adventure', 'Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['United States'],[],[],"['English', 'Russian', 'Maori', 'Italian']",0,36,0,2018
6. Deadpool 2,https://www.imdb.com/title/tt5463162/?ref_=sr_t_6,2018,1h 59m,R,7.6,696K,110000000,785896632,324591735,125507153,['David Leitch'],"['Rhett Reese', 'Paul Wernick', 'Ryan Reynolds']","['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin']","['Dark Comedy', 'Gun Fu', 'Raunchy Comedy', 'Superhero', 'Time Travel', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']","['United States', 'Canada']",[],[],"['English', 'Cantonese', 'Spanish', 'Russian']",0,52,0,2018
7. The Grinch,https://www.imdb.com/title/tt2709692/?ref_=sr_t_7,2018,1h 25m,PG,6.4,101K,75000000,539032799,272242291,67572855,"['Yarrow Cheney', 'Scott Mosier']","['Michael LeSieur', 'Tommy Swerdlow', 'Dr. Seuss']","['Benedict Cumberbatch', 'Cameron Seely', 'Rashida Jones']","['Computer Animation', 'Holiday Animation', 'Holiday Comedy', 'Holiday Family', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Holiday']","['France', 'United States']",[],[],['English'],0,18,0,2018
8. Mission: Impossible - Fallout,https://www.imdb.com/title/tt4912910/?ref_=sr_t_8,2018,2h 27m,PG-13,7.7,389K,178000000,791658205,220159104,61236534,['Christopher McQuarrie'],"['Bruce Geller', 'Christopher McQuarrie']","['Tom Cruise', 'Henry Cavill', 'Ving Rhames']","['Action Epic', 'Globetrotting Adventure', 'Spy', 'Action', 'Adventure', 'Thriller']","['United States', 'China', 'France', 'Norway']",[],[],"['English', 'French']",0,41,1,2018
9. Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/?ref_=sr_t_9,2018,2h 14m,PG-13,7.9,612K,52000000,910813521,216668042,51061119,['Bryan Singer'],"['Anthony McCarten', 'Peter Morgan']","['Rami Malek', 'Lucy Boynton', 'Gwilym Lee']","['Docudrama', 'Period Drama', 'Showbiz Drama', 'Biography', 'Drama', 'Music']","['United Kingdom', 'United States']",[],[],"['English', 'British Sign Language']",0,81,0,2018
10. Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/?ref_=sr_t_10,2018,1h 58m,PG-13,7.0,464K,162000000,622674139,216648740,75812205,['Peyton Reed'],"['Chris McKenna', 'Erik Sommers', 'Paul Rudd']","['Paul Rudd', 'Evangeline Lilly', 'Michael Peña']","['Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']","['United States', 'Canada']",[],[],"['English', 'Spanish', 'French']",0,21,0,2018
